DOI,Cited_in_proteins,Protein_page
10.1038##ncomms13819,no,
10.1038##ncomms14205,no,
10.1038##ncomms15103,no,
10.1038##ncomms15383,no,
10.1038##ncomms15948,no,
10.1038##ncomms1693,no,
10.1038##ncomms1917,no,
10.1038##ncomms3911,no,
10.1038##ncomms4009,no,
10.1038##ncomms4110,no,
10.1038##ncomms5169,no,
10.1038##ncomms5355,no,
10.1038##ncomms5521,no,
10.1038##ncomms7112,no,
10.1038##ncomms7874,no,
10.1038##ncomms8097,no,
10.1038##ncomms8177,no,
10.1038##ncomms8895,no,
10.1038##ncomms8947,no,
10.1038##ncomms8995,no,
10.1038##ncomms9004,no,
10.1038##nsmb.1531,no,
10.1038##nsmb.1740,no,
10.1038##nsmb.1788,no,
10.1038##nsmb.2008,no,
10.1038##nsmb.2233,no,
10.1038##nsmb.2267,no,
10.1038##nsmb.2417,no,
10.1038##nsmb.2473,no,
10.1038##nsmb.2504,no,
10.1038##nsmb.2569,no,
10.1038##nsmb.2768,no,
10.1038##nsmb.2783,no,
10.1038##nsmb.2860,no,
10.1038##nsmb.2904,no,
10.1038##nsmb.3002,no,
10.1038##nsmb.3029,no,
10.1038##nsmb.3049,no,
10.1038##nsmb.3091,no,
10.1038##nsmb.3450,no,
10.1038##nsmb.3491,no,
10.1038##nsmb1179,no,
10.1038##s41467-017-00082-w,no,
10.1038##s41467-018-03477-5,no,
10.1038##s41467-018-07939-8,no,
10.1038##s41467-018-08007-x,no,
10.1038##s41467-019-08646-8,no,
10.1038##s41467-019-09376-7,no,
10.1038##s41467-019-09570-7,no,
10.1038##s41467-019-09658-0,no,
10.1038##s41467-019-09837-z,no,
10.1038##s41467-019-10279-w,no,
10.1038##s41467-019-10777-x,no,
10.1038##s41467-019-12673-w,no,
10.1038##s41467-019-13724-y,no,
10.1038##s41467-020-14735-w,no,
10.1038##s41467-020-14884-y,no,
10.1038##s41467-020-14889-7,no,
10.1038##s41467-020-15009-1,no,
10.1038##s41467-020-15459-7,no,
10.1038##s41467-020-16032-y,no,
10.1038##s41467-020-16842-0,no,
10.1038##s41467-020-17554-1,no,
10.1038##s41467-020-19457-7,no,
10.1038##s41467-020-20221-0,no,
10.1038##s41467-020-20596-0,no,
10.1038##s41467-021-22385-9,no,
10.1038##s41467-021-24282-7,no,
10.1038##s41467-021-25475-w,no,
10.1038##s41467-021-25679-0,no,
10.1038##s41467-021-26535-x,no,
10.1038##s41467-021-26781-z,no,
10.1038##s41467-021-27146-2,no,
10.1038##s41467-021-27244-1,no,
10.1038##s41467-022-28866-9,no,
10.1038##s41467-022-28946-w,no,
10.1038##s41467-022-30326-3,no,
10.1038##s41467-022-32751-w,no,
